scenario	method	evaluated	recall@1	recall@50	recall@100	recall@200	recall@1_pooled_zero	recall@1_pooled_low	recall@1_pooled_medium	recall@1_pooled_high	recall@50_pooled_zero	recall@50_pooled_low	recall@50_pooled_medium	recall@50_pooled_high	recall@100_pooled_zero	recall@100_pooled_low	recall@100_pooled_medium	recall@100_pooled_high	recall@200_pooled_zero	recall@200_pooled_low	recall@200_pooled_medium	recall@200_pooled_high	evaluated_pooled_zero	evaluated_pooled_low	evaluated_pooled_medium	evaluated_pooled_high	recall@1_label_zero	recall@1_label_low	recall@1_label_medium	recall@1_label_high	skipped_src_missing	skipped_tgt_missing
mondo_mesh	BM25	957	0.8171368861024033	0.9582027168234065	0.9686520376175548	0.9770114942528736	0.0	0.6690997566909975	0.9413489736070382	0.9789473684210527	0.0	0.9391727493917275	1.0	1.0	0.0	0.9635036496350365	1.0	1.0	0.0	0.9829683698296837	1.0	1.0	15	411	341	190	0.543859649122807	0.8508771929824561	0.8689655172413793	0.851027397260274	0	257
mondo_mesh	TF-IDF	957	0.786833855799373	0.9749216300940439	0.9791013584117032	0.9791013584117032	0.0	0.6131386861313869	0.9178885630498533	0.9894736842105263	0.0	0.9781021897810219	1.0	1.0	0.0	0.9878345498783455	1.0	1.0	0.0	0.9878345498783455	1.0	1.0	15	411	341	190	0.4649122807017544	0.8245614035087719	0.8482758620689655	0.827054794520548	0	257
mondo_mesh	Base SapBERT	957	0.47439916405433646	0.8463949843260188	0.8735632183908046	0.8975966562173459	0.2	0.40875912408759124	0.4252199413489736	0.7263157894736842	0.4666666666666667	0.8004866180048662	0.873900293255132	0.9263157894736842	0.4666666666666667	0.8394160583941606	0.8973607038123167	0.9368421052631579	0.4666666666666667	0.8686131386861314	0.9237536656891495	0.9473684210526315	15	411	341	190	0.30701754385964913	0.30701754385964913	0.4206896551724138	0.553082191780822	0	257
mondo_mesh	Base SapBERT + boost	957	0.7586206896551724	0.8787878787878788	0.8861024033437827	0.8975966562173459	0.2	0.6934306569343066	0.7712609970674487	0.9210526315789473	0.4666666666666667	0.8418491484184915	0.9032258064516129	0.9473684210526315	0.4666666666666667	0.8564476885644768	0.906158357771261	0.9473684210526315	0.4666666666666667	0.8686131386861314	0.9237536656891495	0.9473684210526315	15	411	341	190	0.45614035087719296	0.42105263157894735	0.6	0.922945205479452	0	257
mondo_mesh	Fine-tuned SapBERT (no boost)	957	0.8672936259143156	0.9916405433646813	0.9926854754440961	0.9937304075235109	0.26666666666666666	0.7834549878345499	0.9442815249266863	0.9578947368421052	0.7333333333333333	0.9902676399026764	1.0	1.0	0.7333333333333333	0.9927007299270073	1.0	1.0	0.7333333333333333	0.9951338199513382	1.0	1.0	15	411	341	190	0.5964912280701754	0.8859649122807017	0.903448275862069	0.9075342465753424	0	257
mondo_mesh	LeonMap (fine-tuned + boost)	957	0.9247648902821317	0.9916405433646813	0.9926854754440961	0.9937304075235109	0.26666666666666666	0.8759124087591241	0.9765395894428153	0.9894736842105263	0.7333333333333333	0.9902676399026764	1.0	1.0	0.7333333333333333	0.9927007299270073	1.0	1.0	0.7333333333333333	0.9951338199513382	1.0	1.0	15	411	341	190	0.6052631578947368	0.9210526315789473	0.9172413793103448	0.9897260273972602	0	257
hp_mp	BM25	1561	0.3657911595131326	0.7616912235746316	0.8065342729019859	0.8321588725176169	0.0	0.21256038647342995	0.6115879828326181	0.9243697478991597	0.0	0.7367149758454107	0.9871244635193133	1.0	0.0	0.8176328502415459	0.9935622317596566	1.0	0.0	0.8623188405797102	1.0	1.0	148	828	466	119	0.22802850356294538	0.15705128205128205	0.3969465648854962	0.6206896551724138	1	2
hp_mp	TF-IDF	1552	0.37628865979381443	0.7783505154639175	0.8202319587628866	0.8440721649484536	0.0	0.2246376811594203	0.6201716738197425	0.9159663865546218	0.0	0.7632850241545893	0.98068669527897	1.0	0.0	0.8321256038647343	0.9978540772532188	1.0	0.0	0.8756038647342995	1.0	1.0	139	828	466	119	0.21601941747572814	0.1794871794871795	0.38676844783715014	0.6597701149425287	10	2
hp_mp	Base SapBERT	1561	0.37475976937860345	0.8436899423446509	0.8750800768737989	0.8987828315182576	0.08108108108108109	0.2693236714975845	0.5600858369098712	0.7478991596638656	0.4594594594594595	0.8152173913043478	0.9785407725321889	0.9915966386554622	0.527027027027027	0.856280193236715	0.9892703862660944	0.9915966386554622	0.5743243243243243	0.8876811594202898	0.9978540772532188	0.9915966386554622	148	828	466	119	0.2375296912114014	0.1891025641025641	0.40966921119592875	0.6091954022988506	1	2
hp_mp	Base SapBERT + boost	1561	0.4612427930813581	0.8449711723254324	0.8757206918641897	0.8987828315182576	0.07432432432432433	0.33454106280193235	0.7017167381974249	0.8823529411764706	0.4594594594594595	0.8164251207729468	0.98068669527897	0.9915966386554622	0.527027027027027	0.856280193236715	0.9914163090128756	0.9915966386554622	0.5743243243243243	0.8876811594202898	0.9978540772532188	0.9915966386554622	148	828	466	119	0.27315914489311166	0.1987179487179487	0.43765903307888043	0.8528735632183908	1	2
